Category,Variable Name Prefix,Variable Description,Definition,Universe,Limitations,Note,Source,Data as of,Numerator Tables,Denominator Tables
Progress Metrics,med_al_price,Median sales price of residential parcels,Median sales price of residential parcels,Arms-length sales,"Only arms-length sales of residential single family, multi-family, and condominium parcels are included","Armslength sales include all property sales except those transferred at Sheriff sale, purchased by a bank, financial institution, GSE or local government,  or recorded with a zero price.   Bulk sales and self-sales are also excluded.",Cuyahoga County Fiscal Office,"December 31, 2015",,
Progress Metrics,med_sfprice,Median sales price: single-family,Median sales price of single-family parcels,Arms-length sales,"Only arms-length sales of residential single family, multi-family, and condominium parcels are included","Armslength sales include all property sales except those transferred at Sheriff sale, purchased by a bank, financial institution, GSE or local government,  or recorded with a zero price.   Bulk sales and self-sales are also excluded.",Cuyahoga County Fiscal Office,"December 31, 2015",,
Progress Metrics,med_mfprice,Median sales price: multi-family ,Median sales price of multi-family (2 to 4-family) parcels,Arms-length sales,"Only arms-length sales of residential single family, multi-family, and condominium parcels are included","Armslength sales include all property sales except those transferred at Sheriff sale, purchased by a bank, financial institution, GSE or local government,  or recorded with a zero price.   Bulk sales and self-sales are also excluded.",Cuyahoga County Fiscal Office,"December 31, 2015",,
Progress Metrics,med_cdprice,Median sales price: condo parcels ,Median sales price of condo parcels ,Arms-length sales,"Only arms-length sales of residential single family, multi-family, and condominium parcels are included","Armslength sales include all property sales except those transferred at Sheriff sale, purchased by a bank, financial institution, GSE or local government,  or recorded with a zero price.   Bulk sales and self-sales are also excluded.",Cuyahoga County Fiscal Office,"December 31, 2015",,
Progress Metrics,al_sales,# of arms-length sales of parcels,Number of arms-length sales of parcels,Arms-length sales,"Only arms-length sales of residential single family, multi-family, and condominium parcels are included","Armslength sales include all property sales except those transferred at Sheriff sale, purchased by a bank, financial institution, GSE or local government,  or recorded with a zero price.   Bulk sales and self-sales are also excluded.",Cuyahoga County Fiscal Office,"December 31, 2015",,
Progress Metrics,sfsale,Single-family sales,Number of arms-length sales of single-family parcels,Arms-length sales,"Only arms-length sales of residential single family, multi-family, and condominium parcels are included","Armslength sales include all property sales except those transferred at Sheriff sale, purchased by a bank, financial institution, GSE or local government,  or recorded with a zero price.   Bulk sales and self-sales are also excluded.",Cuyahoga County Fiscal Office,"December 31, 2015",,
Progress Metrics,mfsale,Multi-family sales,Number of arms-length sales of multi-family (2 to 4-family) parcels,Arms-length sales,"Only arms-length sales of residential single family, multi-family, and condominium parcels are included","Armslength sales include all property sales except those transferred at Sheriff sale, purchased by a bank, financial institution, GSE or local government,  or recorded with a zero price.   Bulk sales and self-sales are also excluded.",Cuyahoga County Fiscal Office,"December 31, 2015",,
Progress Metrics,cdsale,Condo parcel sales,Number of arms-length sales of condominium parcels,Arms-length sales,"Only arms-length sales of residential single family, multi-family, and condominium parcels are included","Armslength sales include all property sales except those transferred at Sheriff sale, purchased by a bank, financial institution, GSE or local government,  or recorded with a zero price.   Bulk sales and self-sales are also excluded.",Cuyahoga County Fiscal Office,"December 31, 2015",,
Progress Metrics,_grent,Median gross rent,Median gross rent,Renter-occupied housing units paying cash rent,,,U.S. Census Bureau,"December 31, 2014","2000:  P053
2010-2014:  B25064",
Progress Metrics,rent_den,# of renter households,Number of renter-occupied housing units,,,,U.S. Census Bureau,"December 31, 2014","2000:  H062
2010-2014:  B25063",
Progress Metrics,_medinc,Median Household Income,Median household income,Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
Progress Metrics,hhincls10k,"Number of households with income less than $10,000","Number of households with income less than $10,000",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
Progress Metrics,_hhincls10k,"% income less than $10,000","Percent of households with income less than $10,000",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001","2000:  P052
2010-2014:  B19001"
Progress Metrics,hhinc10to15k,"Number of households with income $10,000-14,999","Number of households with income $10,000-14,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
Progress Metrics,_hhinc10to15k,"% income $10,000-14,999","Percent of households with income $10,000-14,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001","2000:  P052
2010-2014:  B19001"
Progress Metrics,hhinc15to25k,"Number of households with income $15,000-24,999","Number of households with income $15,000-24,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
Progress Metrics,_hhinc15to25k,"% income $15,000-24,999","Percent of households with income $15,000-24,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001","2000:  P052
2010-2014:  B19001"
Progress Metrics,hhinc25to35k,"Number of households with income $25,000-34,999","Number of households with income $25,000-34,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
Progress Metrics,_hhinc25to35k,"% income $25,000-34,999","Percent of households with income $25,000-34,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001","2000:  P052
2010-2014:  B19001"
Progress Metrics,hhinc35to50k,"Number of households with income $35,000-49,999","Number of households with income $35,000-49,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
Progress Metrics,_hhinc35to50k,"% income $35,000-49,999","Percent of households with income $35,000-49,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001","2000:  P052
2010-2014:  B19001"
Progress Metrics,hhinc50to75k,"Number of households with income $50,000-74,999","Number of households with income $50,000-74,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
Progress Metrics,_hhinc50to75k,"% income $50,000-74,999","Percent of households with income $50,000-74,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001","2000:  P052
2010-2014:  B19001"
Progress Metrics,hhinc75to100k,"Number of households with income $75,000-99,999","Number of households with income $75,000-99,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
Progress Metrics,_hhinc75to100k,"% income $75,000-99,999","Percent of households with income $75,000-99,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001","2000:  P052
2010-2014:  B19001"
Progress Metrics,hhinc100to150k,"Number of households with income $100,000-149,999","Number of households with income $100,000-149,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
Progress Metrics,_hhinc100to150k,"% income $100,000-149,999","Percent of households with income $100,000-149,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001","2000:  P052
2010-2014:  B19001"
Progress Metrics,hhinc150to200k,"Number of households with income $150,000-199,999","Number of households with income $150,000-199,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
Progress Metrics,_hhinc150to200k,"% income $150,000-199,999","Percent of households with income $150,000-199,999",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001","2000:  P052
2010-2014:  B19001"
Progress Metrics,hhinc200kp,"Number of households with income $200,000+","Number of households with income $200,000+",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001",
Progress Metrics,_hhinc200kp,"% income $200,000+","Percent of households with income $200,000+",Total households,,,U.S. Census Bureau,"December 31, 2014","2000:  P052
2010-2014:  B19001","2000:  P052
2010-2014:  B19001"
Progress Metrics,bpv,Population living below poverty level,Count of population living below poverty level,Population for whom poverty status is determined,,,U.S. Census Bureau,"December 31, 2014","2000:  P087
2010-2014:  C17002",
Progress Metrics,_bpv,Poverty Rate,Percent of population living below poverty level,Population for whom poverty status is determined,,,U.S. Census Bureau,"December 31, 2014","2000:  P087
2010-2014:  C17002","2000:  P087
2010-2014:  C17002"
Progress Metrics,tpv,Population for whom poverty status is determined,Count of population for whom poverty status is determined,,,,U.S. Census Bureau,"December 31, 2014","2000:  P087
2010-2014:  C17002",
Progress Metrics,bpv_samehou,Persons aged 1+ living below poverty level in same house 1 year ago,Count of population aged 1+ living below poverty level in same house one year ago,Population age 1+ for whom poverty status is determined,,,U.S. Census Bureau,"December 31, 2014","2000:  NA
2010-2014:  B07012",
Progress Metrics,_bpv_samehou,% Persons aged 1+ living below poverty level in same house 1 year ago,Percent of population aged 1+ living below poverty level in same house one year ago,Population age 1+ for whom poverty status is determined,,,U.S. Census Bureau,"December 31, 2014","2000:  NA
2010-2014:  B07012","2000:  Not available
2010-2014:  B07012"
Progress Metrics,bpv_diffhou,Persons aged 1+ living below poverty level in different house 1 year ago,Count of population aged 1+ living below poverty level in different house one year ago,Population age 1+ for whom poverty status is determined,,,U.S. Census Bureau,"December 31, 2014","2000:  NA
2010-2014:  B07012",
Progress Metrics,_bpv_diffhou,% Persons aged 1+ living below poverty level in different house 1 year ago,Percent of population aged 1+ living below poverty level in different house one year ago,Population age 1+ for whom poverty status is determined,,,U.S. Census Bureau,"December 31, 2014","2000:  NA
2010-2014:  B07012","2000:  Not available
2010-2014:  B07012"
Population,pop,Total population,Count of the total population,,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001",
Population,nhw,Non-hispanic white,Count of the non-hispanic white population,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P008
2010-2014:  B03002",
Population,_nhw,% Non-hispanic white,Percent of the non-hispanic white population,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P008
2010-2014:  B03002","2000:  P012
2010-2014:  B01001"
Population,nhb,Non-hispanic black,Count of the non-hispanic black population,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P008
2010-2014:  B03002",
Population,_nhb,% Non-hispanic black,Percent of the non-hispanic black population,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P008
2010-2014:  B03002","2000:  P012
2010-2014:  B01001"
Population,nhapi,Non-hispanic Asian/Pacific Islander,Count of the non-hispanic Asian/Pacific Islander population,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P008
2010-2014:  B03002",
Population,_nhapi,% Non-hispanic Asian/Pacific Islander,Percent of the non-hispanic Asian/Pacific Islander population,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P008
2010-2014:  B03002","2000:  P012
2010-2014:  B01001"
Population,nho,Non-hispanic other,Count of the other non-hispanic population,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P008
2010-2014:  B03002",
Population,_nho,% Non-hispanic other,Percent of the other non-hispanic population,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P008
2010-2014:  B03002","2000:  P012
2010-2014:  B01001"
Population,hisp,Hispanic,Count of the hispanic population,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P008
2010-2014:  B03002",
Population,_hisp,% Hispanic,Percent of the hispanic population,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P008
2010-2014:  B03002","2000:  P012
2010-2014:  B01001"
Population,popls5,Persons aged under 5,Count of the population age under 5,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001",
Population,_popls5,% Persons aged under 5,Percent of the population age under 5,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001","2000:  P012
2010-2014:  B01001"
Population,pop5to9,Persons aged 5 to 9,Count of the population age 5 to 9,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001",
Population,_pop5to9,% Persons aged 5 to 9,Percent of the population age 5 to 9,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001","2000:  P012
2010-2014:  B01001"
Population,pop10to14,Persons aged 10 to 14,Count of the population age 10 to 14,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001",
Population,_pop10to14,% Persons aged 10 to 14,Percent of the population age 10 to 14,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001","2000:  P012
2010-2014:  B01001"
Population,pop15to19,Persons aged 15 to 19,Count of the population age 15 to 19,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001",
Population,_pop15to19,% Persons aged 15 to 19,Percent of the population age 15 to 19,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001","2000:  P012
2010-2014:  B01001"
Population,pop20to24,Persons aged 20 to 24,Count of the population age 20 to 24,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001",
Population,_pop20to24,% Persons aged 20 to 24,Percent of the population age 20 to 24,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001","2000:  P012
2010-2014:  B01001"
Population,pop25to34,Persons aged 25 to 34,Count of the population age 25 to 34,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001",
Population,_pop25to34,% Persons aged 25 to 34,Percent of the population age 25 to 34,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001","2000:  P012
2010-2014:  B01001"
Population,pop35to44,Persons aged 35 to 44,Count of the population age 35 to 44,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001",
Population,_pop35to44,% Persons aged 35 to 44,Percent of the population age 35 to 44,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001","2000:  P012
2010-2014:  B01001"
Population,pop45to54,Persons aged 45 to 54,Count of the population age 45 to 54,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001",
Population,_pop45to54,% Persons aged 45 to 54,Percent of the population age 45 to 54,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001","2000:  P012
2010-2014:  B01001"
Population,pop55to59,Persons aged 55 to 59,Count of the population age 55 to 59,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001",
Population,_pop55to59,% Persons aged 55 to 59,Percent of the population age 55 to 59,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001","2000:  P012
2010-2014:  B01001"
Population,pop60to64,Persons aged 60 to 64,Count of the population age 60 to 64,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001",
Population,_pop60to64,% Persons aged 60 to 64,Percent of the population age 60 to 64,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001","2000:  P012
2010-2014:  B01001"
Population,pop65to74,Persons aged 65 to 74,Count of the population age 65 to 74,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001",
Population,_pop65to74,% Persons aged 65 to 74,Percent of the population age 65 to 74,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001","2000:  P012
2010-2014:  B01001"
Population,pop75to84,Persons aged 75 to 84,Count of the population age 75 to 84,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001",
Population,_pop75to84,% Persons aged 75 to 84,Percent of the population age 75 to 84,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001","2000:  P012
2010-2014:  B01001"
Population,pop85p,Persons aged 85 and over,Count of the population age 85 and over,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001",
Population,_pop85p,% Persons aged 85 and over,Percent of the population age 85 and over,Total population,,,U.S. Census Bureau,"December 31, 2014","2000:  P012
2010-2014:  B01001","2000:  P012
2010-2014:  B01001"
Safety,Ia,Part I crimes,"Total count of Part I crimes.  Part I crimes include violent crimes (homicide, rape, robbery and aggravated assaults) and property crimes (burglary, larceny-theft, auto theft and arson).",Total population,Data is not available for Cuyahoga County,,Cleveland Police Department,"December 31, 2014",,
Safety,_Ia,"Part I crimes per 100,000 population","Part I crimes rate per 100,000 population",Total population,Data is not available for Cuyahoga County,Population used in the calculation of crime rates is based on the population proportion from the 2010 Census and benchmarked it to the American Community Sruvey (ACS) 1-year estimates population.,Cleveland Police Department,"December 31, 2014",,
Safety,v,Violent crimes,"Total count of violent crimes.  Violent crimes include four offenses: homicide, rape, robbery, and aggravated assault.",Total population,Data is not available for Cuyahoga County,,Cleveland Police Department,"December 31, 2014",,
Safety,_v,"Violent crimes per 100,000 population","Violent crimes rate per 100,000 population",Total population,Data is not available for Cuyahoga County,Population used in the calculation of crime rates is based on the population proportion from the 2010 Census and benchmarked it to the American Community Sruvey (ACS) 1-year estimates population.,Cleveland Police Department,"December 31, 2014",,
Safety,p,Property crimes,"Total count of property crimes.  Property crimes include the offenses of burglary, larceny-theft, motor vehicle theft, and arson. The offenses involve the taking of money or property, with no force or threat of force against the victims.",Total population,Data is not available for Cuyahoga County,,Cleveland Police Department,"December 31, 2014",,
Safety,_p,"Property crimes per 100,000 population","Property crimes rate per 100,000 population",Total population,Data is not available for Cuyahoga County,Population used in the calculation of crime rates is based on the population proportion from the 2010 Census and benchmarked it to the American Community Sruvey (ACS) 1-year estimates population.,Cleveland Police Department,"December 31, 2014",,
Safety,II,Part II crimes,"Total count of Part II crimes.  Part II crimes include everything else such as non-aggravated assaults, forgery, fraud, embezzlement, receiving stolen property, vandalism,  weapons violations, prostitution, drug violations, family offenses, disorderly conduct, kidnapping and all others. ",Total population,Data is not available for Cuyahoga County,,Cleveland Police Department,"December 31, 2014",,
Safety,_II,"Part II crimes per 100,000 population","Part II crimes rate per 100,000 population",Total population,Data is not available for Cuyahoga County,Population used in the calculation of crime rates is based on the population proportion from the 2010 Census and benchmarked it to the American Community Sruvey (ACS) 1-year estimates population.,Cleveland Police Department,"December 31, 2014",,
Stabilization,res_occ,Residential Occupancy,Count of residential occupancy,Total residential addresses,,,HUD / USPS,"December 31, 2015",,
Stabilization,_res_occ,Residential Occupancy Rate,Percent of residential occupancy,Total residential addresses,,,HUD / USPS,"December 31, 2015",,
Stabilization,hsg_den,Housing Density per square mile,Count of residential structures per square mile,,"Only residential single family, multi-family, and condominium parcels are included",,Cuyahoga County Fiscal Office,"December 31, 2015",,
Stabilization,f,Foreclosure filings,"Count of foreclosure filings. Foreclosure filings represent the beginning of the foreclosure process in Ohio, when a lender files a complaint about a delinquent homeowner.",Residential structures,"Only residential single family, multi-family, and condominium parcels are included","Parcels are unduplicated, meaning a given parcel is only counted once, even if there are more than one foreclosure filings on that parcel during a given year.",Cuyahoga County Common Pleas Court,"December 31, 2015",,
Stabilization,_f,% Foreclosure filings,Percent of foreclosure filings,Residential structures,"Only residential single family, multi-family, and condominium parcels are included","Foreclosure filings as a percent of residential single family, multi-family, and condominium parcels during a given year.",Cuyahoga County Common Pleas Court,"December 31, 2015",,
Stabilization,shf,Sheriff's sales ,"Count of sheriff deeds.  Sheriff deeds represent the end of the foreclosure process.  A sheriff deed is granted when a foreclosure has been filed on a property, the homeowner is found in breech of contract, the home is ordered to be sold at sheriff sale and is purchased.",Residential structures,"Only residential single family, multi-family, and condominium parcels are included",,Cuyahoga County Sheriff's Department,"December 31, 2015",,
