cdc_name,count2011,count2012,count2013,count2014,count2015,band12011,band12012,band12013,band12014,band12015,band22011,band22012,band22013,band22014,band22015,band32011,band32012,band32013,band32014,band32015,pctband12011,pctband12012,pctband12013,pctband12014,pctband12015,pctband22011,pctband22012,pctband22013,pctband22014,pctband22015,pctband32011,pctband32012,pctband32013,pctband32014,pctband32015,meanscore2011,meanscore2012,meanscore2013,meanscore2014,meanscore2015
Bellaire Puritas Community Dev. Corp.,186,192,180,194,172,63,76,64,73,14,82,76,72,70,106,41,40,44,51,52,33.87,39.58,35.56,37.63,8.14,44.09,39.58,40,36.08,61.63,22.04,20.83,24.44,26.29,30.23,16.85,16.14,17.18,16.61,25.58
Buckeye Area Dev Corp.,174,149,129,151,142,59,53,45,67,17,78,66,53,63,102,37,30,31,21,23,33.91,35.57,34.88,44.37,11.97,44.83,44.3,41.09,41.72,71.83,21.26,20.13,24.03,13.91,16.2,17.17,16.36,17.23,14.75,23.49
Burton Bell Carr Dev. Corp.,301,308,237,234,215,120,133,113,111,51,133,134,91,94,120,48,41,33,29,44,39.87,43.18,47.68,47.44,23.72,44.19,43.51,38.4,40.17,55.81,15.95,13.31,13.92,12.39,20.47,15.5,15.46,14.53,14.63,22.54
"Campus District, Inc.",55,64,49,36,27,22,26,22,20,7,23,27,23,14,17,10,11,4,2,3,40,40.63,44.9,55.56,25.93,41.82,42.19,46.94,38.89,62.96,18.18,17.19,8.16,5.56,11.11,16.11,16.19,15.04,13.53,22.22
Collinwood Nottingham Villages Dev. Corp.,47,40,42,32,27,20,16,13,14,3,17,16,21,14,14,10,8,8,4,10,42.55,40,30.95,43.75,11.11,36.17,40,50,43.75,51.85,21.28,20,19.05,12.5,37.04,16.17,16.83,16.69,14.53,24.33
"Cudell Improvement, Inc.",122,126,95,119,106,42,54,46,46,14,53,50,33,50,66,27,22,16,23,26,34.43,42.86,48.42,38.66,13.21,43.44,39.68,34.74,42.02,62.26,22.13,17.46,16.84,19.33,24.53,16.4,15.65,14.74,15.82,24.25
Detroit Shoreway Community Dev. Org.,96,103,124,120,99,47,51,73,73,17,39,45,35,34,60,10,7,16,13,22,48.96,49.51,58.87,60.83,17.17,40.63,43.69,28.23,28.33,60.61,10.42,6.8,12.9,10.83,22.22,13.48,14.23,13.11,12.85,23.57
Fairfax Renaissance Dev. Corp.,55,37,25,33,36,19,8,10,16,4,20,19,8,13,24,16,10,7,4,8,34.55,21.62,40,48.48,11.11,36.36,51.35,32,39.39,66.67,29.09,27.03,28,12.12,22.22,17,19.16,17.2,15.36,24.94
Famicos Foundation,194,178,146,135,132,66,71,53,58,13,93,76,67,57,77,35,31,26,20,42,34.02,39.89,36.3,42.96,9.85,47.94,42.7,45.89,42.22,58.33,18.04,17.42,17.81,14.81,31.82,16.74,15.74,16.51,15.6,25.39
Flats Forward,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Harvard Community Services Center,170,160,141,128,130,55,47,41,51,18,70,77,67,46,84,45,36,33,31,28,32.35,29.38,29.08,39.84,13.85,41.18,48.13,47.52,35.94,64.62,26.47,22.5,23.4,24.22,21.54,17.05,17.57,17.87,16.51,23.72
Historic Gateway Dev. Corp.,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Historic Warehouse District,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Hough Dev. Corp.,149,172,125,139,136,53,58,48,60,28,50,76,60,53,83,46,38,17,26,25,35.57,33.72,38.4,43.17,20.59,33.56,44.19,48,38.13,61.03,30.87,22.09,13.6,18.71,18.38,17.18,17.02,15.66,15.62,23.23
Kamm's Corners Dev. Corp.,137,100,133,136,122,30,31,48,46,14,66,36,46,50,67,41,33,39,40,41,21.9,31,36.09,33.82,11.48,48.18,36,34.59,36.76,54.92,29.93,33,29.32,29.41,33.61,18.85,18.76,17.86,17.76,25.21
Little Italy Redevelopment Corp.,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Midtown Cleveland Inc.,14,999999,999999,999999,999999,5,999999,999999,999999,999999,5,999999,999999,999999,999999,4,999999,999999,999999,999999,35.71,999999,999999,999999,999999,35.71,999999,999999,999999,999999,28.57,999999,999999,999999,999999,16.14,999999,999999,999999,999999
Mt. Pleasant NOW Comm. Dev. Corp.,150,119,123,126,110,49,32,54,68,20,62,55,48,42,73,39,32,21,16,17,32.67,26.89,43.9,53.97,18.18,41.33,46.22,39.02,33.33,66.36,26,26.89,17.07,12.7,15.45,17.23,17.91,15.72,13.94,22.32
Northeast Shores Dev. Corp.,119,91,100,99,73,32,28,39,39,6,52,40,27,35,46,35,23,34,25,21,26.89,30.77,39,39.39,8.22,43.7,43.96,27,35.35,63.01,29.41,25.27,34,25.25,28.77,18.24,17.52,17.61,16.12,25.63
Ohio City Inc.,51,48,44,43,37,24,23,25,25,7,20,17,14,12,22,7,8,5,6,8,47.06,47.92,56.82,58.14,18.92,39.22,35.42,31.82,27.91,59.46,13.73,16.67,11.36,13.95,21.62,14.25,14.21,13.09,12.6,24.27
Old Brooklyn Community Dev. Corp.,283,257,252,295,241,123,126,109,144,63,121,93,109,112,136,39,38,34,39,42,43.46,49.03,43.25,48.81,26.14,42.76,36.19,43.25,37.97,56.43,13.78,14.79,13.49,13.22,17.43,14.9,14.56,14.98,13.93,21.54
Shaker Square Area Dev. Corp.,19,14,12,17,999999,8,5,4,5,999999,6,9,6,10,999999,5,0,2,2,999999,42.11,35.71,33.33,29.41,999999,31.58,64.29,50,58.82,999999,26.32,0,16.67,11.76,999999,16.79,14.5,18.25,17.35,999999
Slavic Village Dev. Corp.,204,173,155,174,130,115,78,81,77,20,67,66,62,71,84,22,29,12,26,26,56.37,45.09,52.26,44.25,15.38,32.84,38.15,40,40.8,64.62,10.78,16.76,7.74,14.94,20,13.79,15.68,13.52,15.09,23.58
St. Clair Superior Dev. Corp.,258,263,195,211,187,85,103,84,86,28,110,126,74,88,114,63,34,37,37,45,32.95,39.16,43.08,40.76,14.97,42.64,47.91,37.95,41.71,60.96,24.42,12.93,18.97,17.54,24.06,17.15,15.88,15.48,15.77,23.9
"Stockyards, Clark Fulton, Brooklyn Center Comm. Dev. Corp.",322,355,367,353,322,168,215,215,205,72,128,112,124,124,185,26,28,28,24,65,52.17,60.56,58.58,58.07,22.36,39.75,31.55,33.79,35.13,57.45,8.07,7.89,7.63,6.8,20.19,13.35,12.49,12.64,12.36,22.5
Tremont West Dev. Corp.,61,68,46,41,31,27,26,25,23,4,24,33,16,13,20,10,9,5,5,7,44.26,38.24,54.35,56.1,12.9,39.34,48.53,34.78,31.71,64.52,16.39,13.24,10.87,12.2,22.58,15.79,15.62,13.11,12.63,25.06
Union Miles Dev. Corp.,198,141,119,134,138,81,52,53,62,28,84,58,51,51,85,33,31,15,21,25,40.91,36.88,44.54,46.27,20.29,42.42,41.13,42.86,38.06,61.59,16.67,21.99,12.61,15.67,18.12,15.48,16.71,14.82,14.34,23.51
"University Circle, Incorporated",999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Westown Community Dev. Corp.,192,206,192,228,194,95,99,102,103,34,70,78,61,93,109,27,29,29,32,51,49.48,48.06,53.13,45.18,17.53,36.46,37.86,31.77,40.79,56.19,14.06,14.08,15.1,14.04,26.29,14.23,14.94,14.46,14.58,24.15
