neighbor10,v2012,v2013,v2014,v2015,v2016,h2012,h2013,h2014,h2015,h2016,r2012,r2013,r2014,r2015,r2016,ro2012,ro2013,ro2014,ro2015,ro2016,ag2012,ag2013,ag2014,ag2015,ag2016,a2012,a2013,a2014,a2015,a2016,dv2012,dv2013,dv2014,dv2015,dv2016,p2012,p2013,p2014,p2015,p2016,b2012,b2013,b2014,b2015,b2016,l2012,l2013,l2014,l2015,l2016,mv2012,mv2013,mv2014,mv2015,mv2016,ar2012,ar2013,ar2014,ar2015,ar2016,d2012,d2013,d2014,d2015,d2016,dp2012,dp2013,dp2014,dp2015,dp2016,dt2012,dt2013,dt2014,dt2015,dt2016,od2012,od2013,od2014,od2015,od2016,lq2012,lq2013,lq2014,lq2015,lq2016,Ia2012,Ia2013,Ia2014,Ia2015,Ia2016,II2012,II2013,II2014,II2015,II2016,_v2012,_v2013,_v2014,_v2015,_v2016,_h2012,_h2013,_h2014,_h2015,_h2016,_r2012,_r2013,_r2014,_r2015,_r2016,_ro2012,_ro2013,_ro2014,_ro2015,_ro2016,_ag2012,_ag2013,_ag2014,_ag2015,_ag2016,_a2012,_a2013,_a2014,_a2015,_a2016,_dv2012,_dv2013,_dv2014,_dv2015,_dv2016,_p2012,_p2013,_p2014,_p2015,_p2016,_b2012,_b2013,_b2014,_b2015,_b2016,_l2012,_l2013,_l2014,_l2015,_l2016,_mv2012,_mv2013,_mv2014,_mv2015,_mv2016,_ar2012,_ar2013,_ar2014,_ar2015,_ar2016,_d2012,_d2013,_d2014,_d2015,_d2016,_dp2012,_dp2013,_dp2014,_dp2015,_dp2016,_dt2012,_dt2013,_dt2014,_dt2015,_dt2016,_od2012,_od2013,_od2014,_od2015,_od2016,_lq2012,_lq2013,_lq2014,_lq2015,_lq2016,_Ia2012,_Ia2013,_Ia2014,_Ia2015,_Ia2016,_II2012,_II2013,_II2014,_II2015,_II2016,pctchgrt_v,pctchgrt_h,pctchgrt_r,pctchgrt_ro,pctchgrt_ag,pctchgrt_a,pctchgrt_dv,pctchgrt_p,pctchgrt_b,pctchgrt_l,pctchgrt_mv,pctchgrt_ar,pctchgrt_d,pctchgrt_dp,pctchgrt_dt,pctchgrt_od,pctchgrt_lq,pctchgrt_Ia,pctchgrt_II
Goodrich-Kirtland Pk,108,87,110,98,94,4,0,1,0,0,13,15,18,18,15,63,50,50,42,44,28,22,41,38,35,119,119,117,125,140,33,43,29,55,54,440,374,375,299,361,141,128,94,69,96,223,185,218,185,211,67,57,57,40,51,9,4,6,5,3,38,34,35,38,35,24,24,24,21,7,13,10,10,15,28,1,0,1,2,0,2,0,2,4,7,548,461,485,397,455,416,409,393,456,459,2586.78,2088.16,2644.15,2364.59,2278.36,95.81,0,24.04,0,0,311.37,360.03,432.68,434.31,363.57,1508.96,1200.09,1201.88,1013.39,1066.46,670.65,528.04,985.55,916.88,848.32,2850.25,2856.22,2812.41,3016.06,3393.3,790.41,1032.08,697.09,1327.06,1308.84,10538.74,8976.69,9014.14,7214.41,8749.85,3377.19,3072.24,2259.54,1664.86,2326.83,5341.22,4440.34,5240.22,4463.76,5114.18,1604.76,1368.1,1370.15,965.14,1236.13,215.57,96.01,144.23,120.64,72.71,910.16,816.06,841.32,916.88,848.32,574.84,576.04,576.9,506.7,169.66,311.37,240.02,240.38,361.93,678.66,23.95,0,24.04,48.26,0,47.9,0,48.08,96.51,169.66,13125.52,11064.85,11658.28,9578.99,11028.21,9963.9,9816.75,9446.82,11002.57,11125.16,-11.92,-100,16.76,-29.32,26.49,19.05,65.59,-16.97,-31.1,-4.25,-22.97,-66.27,-6.79,-70.49,117.96,-100,254.2,-15.98,11.65
Hopkins,4,3,3,8,4,0,0,0,0,0,0,0,0,0,1,3,0,3,5,2,1,3,0,3,1,19,12,11,19,17,4,4,4,9,9,111,113,109,126,131,8,6,6,8,15,95,89,91,100,85,8,16,10,18,30,0,2,2,0,1,17,18,10,12,18,14,12,5,2,11,3,6,4,9,7,0,0,1,1,0,0,0,1,0,0,115,116,112,134,135,129,110,106,108,129,1990.34,1495.88,1498.11,4010.05,2014.12,0,0,0,0,0,0,0,0,0,503.53,1492.75,0,1498.11,2506.28,1007.06,497.58,1495.88,0,1503.77,503.53,9454.1,5983.52,5493.09,9523.88,8559.99,1990.34,1994.51,1997.49,4511.31,4531.76,55231.86,56344.79,54431.49,63158.34,65962.29,3980.67,2991.76,2996.23,4010.05,7552.93,47270.51,44377.75,45442.8,50125.67,42799.96,3980.67,7978.02,4993.71,9022.62,15105.87,0,997.25,998.74,0,503.53,8458.93,8975.28,4993.71,6015.08,9063.52,6966.18,5983.52,2496.86,1002.51,5538.82,1492.75,2991.76,1997.49,4511.31,3524.7,0,0,499.37,501.26,0,0,0,499.37,0,0,57222.2,57840.66,55929.6,67168.39,67976.41,64188.38,54848.91,52933.37,54135.72,64955.23,1.19,,,-32.54,1.2,-9.46,127.69,19.43,89.74,-9.46,279.48,,7.15,-20.49,136.12,,,18.79,1.19
Hough,190,224,196,223,237,5,5,3,4,5,11,20,14,15,11,83,102,96,95,90,91,97,83,109,131,287,314,274,304,302,182,182,187,180,204,635,574,447,420,453,269,197,134,125,127,239,246,209,193,211,120,117,97,93,112,7,14,7,9,3,115,88,81,60,59,64,51,40,27,24,51,35,40,33,35,0,2,1,0,0,2,0,4,1,5,825,798,643,643,690,1058,1047,990,995,1031,1678.54,1983.05,1737.76,1984.61,2118.77,44.17,44.26,26.6,35.6,44.7,97.18,177.06,124.13,133.49,98.34,733.25,903,851.15,845.46,804.59,803.93,858.73,735.89,970.06,1171.13,2535.47,2779.81,2429.32,2705.48,2699.86,1607.86,1611.23,1657.97,1601.93,1823.75,5609.84,5081.56,3963.16,3737.83,4049.79,2376.45,1744.02,1188.06,1112.45,1135.37,2111.42,2177.81,1853.02,1717.62,1886.33,1060.13,1035.79,860.01,827.66,1001.27,61.84,123.94,62.06,80.1,26.82,1015.96,779.05,718.16,533.98,527.46,565.4,451.5,354.64,240.29,214.56,450.55,309.85,354.64,293.69,312.9,0,17.71,8.87,0,0,17.67,0,35.46,8.9,44.7,7288.38,7064.61,5700.92,5722.44,6168.56,9346.79,9268.98,8777.46,8855.1,9217.08,26.23,1.2,1.19,9.73,45.68,6.48,13.43,-27.81,-52.22,-10.66,-5.55,-56.63,-48.08,-62.05,-30.55,,152.97,-15.36,-1.39
Jefferson,158,137,150,150,166,0,0,3,1,1,22,15,13,12,14,103,82,89,93,86,33,40,45,44,65,230,238,236,285,245,158,177,181,199,219,945,1083,1001,824,829,328,336,249,166,189,475,615,618,552,479,137,125,124,101,149,5,7,10,5,12,53,61,56,26,28,32,33,33,15,9,20,28,20,9,19,1,0,3,2,0,4,2,1,1,2,1103,1220,1151,974,995,916,926,994,938,898,969.19,842.13,923.42,926.91,1030.43,0,0,18.47,6.18,6.21,134.95,92.2,80.03,74.15,86.9,631.81,504.05,547.9,574.68,533.84,202.43,245.88,277.03,271.89,403.48,1410.84,1462.97,1452.85,1761.12,1520.81,969.19,1088.01,1114.26,1229.7,1359.42,5796.73,6657.15,6162.29,5091.81,5145.93,2011.99,2065.38,1532.88,1025.78,1173.2,2913.7,3780.38,3804.49,3411.02,2973.34,840.37,768.37,763.36,624.12,924.9,30.67,43.03,61.56,30.9,74.49,325.11,374.96,344.74,160.66,173.81,196.29,202.85,203.15,92.69,55.87,122.68,172.11,123.12,55.61,117.94,6.13,0,18.47,12.36,0,24.54,12.29,6.16,6.18,12.41,6765.92,7499.28,7085.71,6018.71,6176.35,5618.84,5692.08,6119.2,5796.26,5574.24,6.32,,-35.61,-15.51,99.32,7.79,40.26,-11.23,-41.69,2.05,10.06,142.88,-46.54,-71.54,-3.86,-100,-49.43,-8.71,-0.79
Kamm's,84,105,101,105,114,0,1,3,2,0,16,16,18,21,22,35,51,50,50,54,33,37,30,32,38,189,208,189,178,198,124,122,122,121,133,772,742,776,680,693,226,203,209,189,166,441,425,444,415,394,104,100,121,74,130,1,14,2,2,3,25,33,26,20,10,17,17,11,12,6,8,15,15,8,4,0,1,0,0,0,0,0,1,2,0,856,847,877,785,807,693,774,713,663,656,337.7,423.01,407.5,425.24,463.78,0,4.03,12.1,8.1,0,64.32,64.46,72.62,85.05,89.5,140.71,205.46,201.73,202.5,219.69,132.67,149.06,121.04,129.6,154.59,759.83,837.96,762.56,720.89,805.52,498.51,491.5,492.23,490.04,541.08,3103.63,2989.27,3130.92,2753.94,2819.32,908.58,817.82,843.25,765.43,675.33,1772.93,1712.18,1791.4,1680.72,1602.9,418.11,402.87,488.2,299.69,528.88,4.02,56.4,8.07,8.1,12.2,100.51,132.95,104.9,81,40.68,68.34,68.49,44.38,48.6,24.41,32.16,60.43,60.52,32.4,16.27,0,4.03,0,0,0,0,0,4.03,8.1,0,3441.33,3412.28,3538.42,3179.18,3283.1,2786.03,3118.19,2876.73,2685.1,2668.79,37.33,,39.15,56.13,16.52,6.01,8.54,-9.16,-25.67,-9.59,26.49,203.48,-59.53,-64.28,-49.41,,,-4.6,-4.21
Kinsman,137,140,108,144,97,7,3,2,3,3,14,11,7,10,9,73,71,38,46,39,43,55,61,85,46,146,176,153,186,178,145,155,155,200,172,386,389,396,368,331,169,150,167,134,123,130,133,135,158,118,81,100,84,74,80,6,6,10,2,10,59,59,40,20,23,36,36,31,13,11,20,18,9,7,12,3,5,0,0,0,3,0,5,4,1,523,529,504,512,428,685,667,664,688,612,1996.34,2044.33,1579.41,2113.83,1430.35,102,43.81,29.25,44.04,44.24,204.01,160.63,102.37,146.79,132.71,1063.74,1036.77,555.72,675.25,575.09,626.59,803.13,892.07,1247.74,678.31,2127.48,2570.01,2237.49,2730.36,2624.77,2112.91,2263.36,2266.74,2935.87,2536.29,5624.72,5680.3,5791.16,5402,4880.89,2462.64,2190.35,2442.23,1967.03,1813.75,1894.33,1942.11,1974.26,2319.34,1740.02,1180.32,1460.23,1228.43,1086.27,1179.67,87.43,87.61,146.24,29.36,147.46,859.74,861.54,584.97,293.59,339.16,524.59,525.68,453.35,190.83,162.2,291.44,262.84,131.62,102.76,176.95,43.72,73.01,0,0,0,43.72,0,73.12,58.72,14.75,7621.05,7724.63,7370.57,7515.83,6311.24,9981.69,9739.75,9710.43,10099.39,9024.49,-28.35,-56.63,-34.95,-45.94,8.25,23.37,20.04,-13.22,-26.35,-8.15,-0.06,68.66,-60.55,-69.08,-39.28,-100,-66.26,-17.19,-9.59
Lee-Harvard,128,176,102,105,177,1,4,3,6,1,6,7,8,7,8,86,123,55,61,106,35,42,36,31,62,114,142,112,136,129,84,88,110,114,121,502,560,439,480,655,245,236,180,187,320,172,186,170,187,170,82,126,81,102,163,3,12,8,4,2,27,27,32,6,16,18,22,25,4,12,6,5,5,2,4,3,0,2,0,0,2,1,1,1,1,630,736,541,585,832,509,572,575,505,562,1258.27,1733.75,1006.29,1039.79,1760.74,9.83,39.4,29.6,59.42,9.95,58.98,68.96,78.92,69.32,79.58,845.4,1211.65,542.61,604.07,1054.46,344.06,413.74,355.16,306.99,616.76,1120.65,1398.82,1104.94,1346.78,1283.25,825.74,866.87,1085.21,1128.92,1203.67,4934.79,5516.47,4330.98,4753.35,6515.74,2408.41,2324.8,1775.8,1851.82,3183.26,1690.8,1832.26,1677.15,1851.82,1691.11,806.08,1241.21,799.11,1010.09,1621.47,29.49,118.21,78.92,39.61,19.9,265.42,265.97,315.7,59.42,159.16,176.94,216.72,246.64,39.61,119.37,58.98,49.25,49.33,19.81,39.79,29.49,0,19.73,0,0,19.66,9.85,9.87,9.9,9.95,6193.06,7250.22,5337.27,5793.14,8276.48,5003.6,5634.68,5672.7,5000.92,5590.6,39.93,1.22,34.93,24.73,79.26,14.51,45.77,32.04,32.17,0.02,101.15,-32.52,-40.03,-32.54,-32.54,-100,-49.39,33.64,11.73
Lee-Seville,38,55,37,38,45,2,1,3,0,3,5,4,2,4,4,16,28,16,14,18,15,22,16,20,20,63,56,39,34,76,53,47,52,69,60,243,213,226,230,257,125,85,97,96,110,68,67,66,69,70,49,60,58,63,74,1,1,5,2,3,13,13,13,6,11,11,11,10,6,6,1,1,3,0,5,1,1,0,0,0,1,0,0,0,0,281,268,263,268,302,287,260,247,251,260,857.93,1244.35,838.36,864.27,1028.11,45.15,22.62,67.97,0,68.54,112.89,90.5,45.32,90.98,91.39,361.24,633.49,362.53,318.41,411.25,338.66,497.74,362.53,454.88,456.94,1422.37,1266.97,883.67,773.29,1736.37,1196.59,1063.35,1178.23,1569.33,1370.82,5486.27,4819.02,5120.78,5231.09,5871.67,2822.15,1923.08,2197.86,2183.41,2513.16,1535.25,1515.84,1495.45,1569.33,1599.29,1106.28,1357.47,1314.18,1432.86,1690.67,22.58,22.62,113.29,45.49,68.54,293.5,294.12,294.56,136.46,251.32,248.35,248.87,226.58,136.46,137.08,22.58,22.62,67.97,0,114.23,22.58,22.62,0,0,0,22.58,0,0,0,0,6344.2,6063.37,5959.14,6095.35,6899.78,6479.66,5882.37,5596.6,5708.71,5940.21,19.84,51.81,-19.05,13.84,34.93,22.08,14.56,7.02,-10.95,4.17,52.82,203.54,-14.37,-44.8,405.89,-100,-100,8.76,-8.33
Mount Pleasant,320,283,304,292,279,6,2,7,6,10,24,24,31,21,21,149,147,125,126,124,141,110,141,139,124,390,370,344,375,344,290,289,312,364,309,976,979,925,841,787,447,389,365,349,274,344,346,362,303,336,174,233,180,177,162,11,11,18,12,15,109,134,93,65,51,81,94,79,42,23,22,36,13,21,28,6,4,1,2,0,3,2,6,8,7,1296,1262,1229,1133,1066,1467,1520,1432,1484,1189,1875.42,1662.05,1788.05,1723.95,1654.67,35.16,11.75,41.17,35.42,59.31,140.66,140.95,182.33,123.98,124.54,873.24,863.33,735.22,743.9,735.41,826.36,646.03,829.33,820.65,735.41,2285.67,2173,2023.32,2213.98,2040.16,1699.6,1697.29,1835.1,2149.04,1832.59,5720.04,5749.63,5440.61,4965.22,4667.47,2619.73,2284.58,2146.84,2060.48,1625.01,2016.08,2032.05,2129.19,1788.9,1992.72,1019.76,1368.4,1058.71,1045,960.78,64.47,64.6,105.87,70.85,88.96,638.82,786.98,547,383.76,302.47,474.72,552.06,464.66,247.97,136.41,128.94,211.43,76.46,123.98,166.06,35.16,23.49,5.88,11.81,0,17.58,11.75,35.29,47.23,41.51,7595.46,7411.68,7228.66,6689.17,6322.14,8597.64,8926.91,8422.65,8761.46,7051.61,-11.77,68.69,-11.46,-15.78,-11.01,-10.74,7.82,-18.4,-37.97,-1.16,-5.78,37.99,-52.65,-71.27,28.79,-100,136.12,-16.76,-17.98
North Shore Collinwood,147,187,175,139,134,4,4,1,1,1,12,19,17,13,6,72,97,83,61,70,59,67,74,64,57,245,313,274,313,267,167,205,189,191,242,797,751,638,572,580,343,291,248,135,193,320,332,281,301,246,129,124,103,136,141,5,4,6,0,0,131,96,42,34,18,88,57,33,18,12,42,38,9,14,6,1,1,0,2,0,3,3,1,9,6,944,938,813,711,714,1028,1121,1011,997,972,946.32,1206.34,1130.62,901.42,872.94,25.75,25.8,6.46,6.49,6.51,77.25,122.57,109.83,84.31,39.09,463.5,625.75,536.24,395.59,456.01,379.82,432.22,478.09,415.04,371.32,1577.2,2019.17,1770.22,2029.82,1739.36,1075.07,1322.46,1221.07,1238.65,1576.5,5130.72,4844.72,4121.9,3709.45,3778.38,2208.08,1877.25,1602.25,875.48,1257.29,2060.01,2141.74,1815.45,1952,1602.56,830.44,799.93,665.45,881.97,918.54,32.19,25.8,38.76,0,0,843.32,619.3,271.35,220.49,117.26,566.5,367.71,213.2,116.73,78.17,270.38,245.14,58.15,90.79,39.09,6.44,6.45,0,12.97,0,19.31,19.35,6.46,58.37,39.09,6077.04,6051.06,5252.52,4610.87,4651.32,6617.8,7231.6,6531.73,6465.6,6332.05,-7.75,-74.72,-49.4,-1.62,-2.24,10.28,46.64,-26.36,-43.06,-22.21,10.61,-100,-86.1,-86.2,-85.54,-100,102.43,-23.46,-4.32
Ohio City,168,187,151,137,146,3,2,3,0,2,18,5,10,12,17,96,118,96,85,84,51,62,42,40,43,234,228,210,187,171,90,79,97,94,101,848,646,528,599,684,269,194,109,171,189,466,339,291,339,383,107,108,125,82,106,6,5,3,7,6,64,62,58,42,40,38,39,32,24,20,23,22,24,16,20,3,1,2,2,0,0,1,3,0,2,1016,833,679,736,830,813,753,701,645,721,1954.3,2179.88,1762.85,1605.45,1718.67,34.9,23.31,35.02,0,23.54,209.39,58.29,116.75,140.62,200.12,1116.74,1375.54,1120.75,996.08,988.82,593.27,722.74,490.33,468.74,506.18,2722.06,2657.82,2451.65,2191.38,2012.96,1046.95,920.91,1132.43,1101.55,1188.94,9864.56,7530.48,6164.14,7019.43,8051.85,3129.2,2261.48,1272.52,2003.88,2224.85,5420.85,3951.75,3397.28,3972.6,4508.56,1244.7,1258.97,1459.31,960.92,1247.8,69.8,58.29,35.02,82.03,70.63,744.49,722.74,677.12,492.18,470.87,442.04,454.63,373.58,281.25,235.43,267.55,256.46,280.19,187.5,235.43,34.9,11.66,23.35,23.44,0,0,11.66,35.02,0,23.54,11818.85,9710.36,7926.99,8624.88,9770.52,9457.41,8777.79,8183.83,7558.49,8487.4,-12.06,-32.55,-4.43,-11.45,-14.68,-26.05,13.56,-18.38,-28.9,-16.83,0.25,1.19,-36.75,-46.74,-12.01,-100,,-17.33,-10.26
Old Brooklyn,136,176,161,173,200,0,1,2,1,3,13,18,25,22,31,61,75,65,85,97,62,82,69,65,69,415,430,388,392,448,311,299,314,360,309,1212,1220,1215,1102,1253,469,472,464,404,391,539,505,505,533,601,200,236,236,157,252,4,7,10,8,9,56,73,113,67,81,31,43,60,35,30,23,30,50,30,51,2,0,3,2,0,2,5,0,2,1,1348,1396,1376,1275,1453,1597,1595,1554,1568,1555,431.28,559.3,512.4,552.67,641.82,0,3.18,6.37,3.19,9.63,41.23,57.2,79.56,70.28,99.48,193.44,238.34,206.87,271.54,311.28,196.61,260.58,219.6,207.65,221.43,1316.05,1366.48,1234.85,1252.29,1437.67,986.25,950.18,999.34,1150.06,991.61,3843.5,3876.98,3866.86,3520.46,4021,1487.3,1499.95,1476.73,1290.62,1254.76,1709.28,1604.81,1607.21,1702.73,1928.67,634.24,749.97,751.09,501.55,808.69,12.68,22.24,31.83,25.56,28.88,177.59,231.98,359.63,214.04,259.94,98.31,136.65,190.96,111.81,96.27,72.94,95.34,159.13,95.84,163.66,6.34,0,9.55,6.39,0,6.34,15.89,0,6.39,3.21,4274.79,4436.28,4379.25,4073.13,4662.81,5064.42,5068.67,4945.76,5009.15,4990.14,48.82,,141.28,60.92,12.62,9.24,0.54,4.62,-15.64,12.84,27.51,127.76,46.37,-2.08,124.38,-100,-49.37,9.08,-1.47
St.Clair-Superior,173,148,152,166,193,4,6,3,4,6,15,13,9,7,16,88,72,71,82,90,66,57,69,73,81,175,207,197,212,217,119,130,139,158,163,512,491,390,424,412,249,226,152,158,136,169,193,168,182,176,80,67,66,77,90,14,5,4,7,10,54,61,44,40,23,42,41,28,21,11,11,19,15,19,11,1,1,1,0,1,1,4,5,5,3,685,639,542,590,605,716,762,736,722,699,2553.92,2189.43,2251.96,2468.67,2883.21,59.05,88.76,44.45,59.49,89.63,221.44,192.31,133.34,104.1,239.02,1299.1,1065.13,1051.9,1219.46,1344.5,974.33,843.23,1022.27,1085.62,1210.05,2583.44,3062.24,2918.66,3152.76,3241.74,1756.74,1923.15,2059.36,2349.7,2435.04,7558.42,7263.59,5778.07,6305.51,6154.83,3675.87,3343.32,2251.96,2349.7,2031.69,2494.87,2855.14,2489.01,2706.61,2629.25,1181,991.16,977.83,1145.1,1344.5,206.68,73.97,59.26,104.1,149.39,797.18,902.4,651.88,594.86,343.59,620.03,606.53,414.84,312.3,164.33,162.39,281.08,222.23,282.56,164.33,14.76,14.79,14.82,0,14.94,14.76,59.17,74.08,74.36,44.82,10112.34,9453.02,8030.03,8774.18,9038.04,10569.98,11272.61,10904.25,10737.22,10442.29,12.89,51.79,7.94,3.49,24.19,25.48,38.61,-18.57,-44.73,5.39,13.84,-27.72,-56.9,-73.5,1.19,1.22,203.66,-10.62,-1.21
Stockyards,189,154,147,173,154,2,1,3,1,3,18,9,7,15,12,109,78,87,86,71,60,66,50,71,68,330,292,333,261,260,182,191,199,214,194,677,734,592,532,578,329,349,236,222,202,225,271,241,202,241,108,92,103,95,115,15,22,12,13,20,72,95,90,69,70,47,62,52,35,30,25,33,33,33,40,0,0,5,1,0,1,3,0,0,0,866,888,739,705,732,981,1031,1012,881,864,1842.75,1504.64,1438.4,1699.2,1519.44,19.5,9.77,29.36,9.82,29.6,175.5,87.93,68.5,147.33,118.4,1062.75,762.09,851.3,844.69,700.52,585,644.85,489.25,697.36,670.92,3217.5,2852.96,3258.41,2563.53,2565.28,1774.5,1866.15,1947.22,2101.9,1914.1,6600.75,7171.48,5792.73,5225.28,5702.82,3207.75,3409.87,2309.26,2180.47,1993.03,2193.75,2647.78,2358.19,1984.03,2377.82,1053,898.88,1007.86,933.09,1134.64,146.25,214.95,117.42,127.69,197.33,702,928.19,880.65,677.71,690.65,458.25,605.77,508.82,343.77,295.99,243.75,322.42,322.91,324.12,394.66,0,0,48.93,9.82,0,9.75,29.31,0,0,0,8443.5,8676.13,7231.12,6924.48,7222.26,9564.75,10073.3,9902.43,8653.14,8524.64,-17.54,51.79,-32.54,-34.08,14.69,-20.27,7.87,-13.6,-37.87,8.39,7.75,34.93,-1.62,-35.41,61.91,,-100,-14.46,-10.87
Tremont,71,87,80,75,75,0,0,0,0,2,14,16,11,9,4,30,42,38,41,34,27,29,31,25,35,138,142,168,117,115,83,87,79,80,62,526,476,409,338,434,157,105,110,108,146,288,276,189,142,194,74,86,106,81,88,7,9,4,7,6,31,35,31,24,14,23,17,16,14,9,7,17,15,10,5,1,1,0,0,0,1,0,1,0,0,597,563,489,413,509,489,495,523,460,444,906.31,1112.88,1024.87,964.44,968.81,0,0,0,0,25.83,178.71,204.67,140.92,115.73,51.67,382.95,537.25,486.81,527.23,439.19,344.65,370.96,397.14,321.48,452.11,1761.57,1816.42,2152.22,1504.53,1485.51,1059.49,1112.88,1012.06,1028.74,800.88,6714.38,6088.86,5239.63,4346.41,5606.19,2004.1,1343.13,1409.19,1388.79,1885.95,3676.32,3530.52,2421.25,1826.01,2505.99,944.61,1100.09,1357.95,1041.6,1136.74,89.35,115.13,51.24,90.01,77.5,395.71,447.71,397.14,308.62,180.84,293.59,217.46,204.97,180.03,116.26,89.35,217.46,192.16,128.59,64.59,12.76,12.79,0,0,0,12.76,0,12.81,0,0,7620.7,7201.74,6264.5,5310.85,6575,6242.08,6331.9,6700.07,5915.23,5735.37,6.9,,-71.09,14.69,31.18,-15.67,-24.41,-16.5,-5.9,-31.83,20.34,-13.26,-54.3,-60.4,-27.71,-100,-100,-13.72,-8.12
Union-Miles,358,384,316,337,363,8,7,11,16,11,25,27,28,21,21,193,206,144,159,173,132,144,133,141,158,354,368,326,361,359,293,290,289,377,321,1123,1167,1070,1014,926,496,478,371,414,337,362,377,402,344,321,237,290,276,230,242,28,22,21,26,26,146,103,119,58,65,108,73,87,39,34,29,26,27,19,31,9,4,5,0,0,1,1,4,9,12,1481,1551,1386,1351,1289,1599,1564,1521,1522,1351,1912.21,2055.38,1693.93,1813.32,1962.08,42.73,37.47,58.97,86.09,59.46,133.53,144.52,150.1,113,113.51,1030.88,1102.62,771.92,855.54,935.09,705.06,770.77,712.95,758.69,854.02,1890.84,1969.74,1747.54,1942.46,1940.46,1565.02,1552.24,1549.2,2028.55,1735.06,5998.35,6246.42,5735.78,5456.11,5005.19,2649.31,2558.52,1988.76,2227.64,1821.54,1933.57,2017.91,2154.94,1850.99,1735.06,1265.9,1552.24,1479.51,1237.58,1308.05,149.56,117.76,112.57,139.9,140.53,779.84,551.31,637.9,312.09,351.34,576.87,390.74,466.37,209.85,183.78,154.9,139.17,144.73,102.23,167.56,48.07,21.41,26.8,0,0,5.34,5.35,21.44,48.43,64.86,7910.55,8301.8,7429.71,7269.43,6967.27,8540.83,8371.38,8153.39,8189.55,7302.39,2.61,39.15,-14.99,-9.29,21.13,2.62,10.87,-16.56,-31.24,-10.27,3.33,-6.04,-54.95,-68.14,8.17,-100,1114.61,-11.92,-14.5
University,83,106,86,93,121,0,2,0,1,1,23,24,20,27,19,40,52,39,44,52,20,28,27,21,49,110,125,123,96,85,44,39,41,42,38,600,478,463,451,387,95,71,47,57,51,447,357,359,352,286,57,48,56,39,46,1,2,1,3,4,57,55,47,56,58,35,35,17,31,32,18,18,27,23,26,4,2,3,2,0,18,36,30,41,27,683,584,549,544,508,476,477,488,449,419,1061.23,1358.14,1103.54,1197.86,1565.58,0,25.63,0,12.88,12.94,294.08,307.5,256.64,347.77,245.83,511.44,666.26,500.44,566.73,672.81,255.72,358.75,346.46,270.49,633.99,1406.45,1601.58,1578.31,1236.5,1099.78,562.58,499.69,526.1,540.97,491.67,7671.54,6124.46,5941.13,5809,5007.26,1214.66,909.7,603.1,734.17,659.87,5715.29,4574.12,4606.62,4533.85,3700.45,728.8,615.01,718.58,502.33,595.18,12.79,25.63,12.83,38.64,51.75,728.8,704.7,603.1,721.29,750.44,447.51,448.44,218.14,399.29,414.04,230.15,230.63,346.46,296.25,336.4,51.14,25.63,38.5,25.76,0,230.15,461.26,384.95,528.09,349.34,8732.76,7482.6,7044.67,7006.86,6572.83,6086.08,6111.64,6261.93,5783.24,5421.29,47.53,,-16.41,31.55,147.92,-21.8,-12.6,-34.73,-45.67,-35.25,-18.33,304.61,2.97,-7.48,46.17,-100,51.79,-24.73,-10.92
West Boulevard,227,218,216,211,255,2,1,5,4,3,21,14,14,24,27,119,124,134,118,139,85,79,63,65,86,357,384,383,382,390,263,296,298,288,331,1026,972,1021,752,858,478,384,361,244,258,399,412,427,339,424,140,164,221,156,161,9,12,12,13,15,100,104,95,75,46,60,65,49,31,17,39,39,41,43,29,1,0,5,1,0,1,4,3,1,2,1253,1190,1237,963,1113,1361,1406,1474,1311,1312,1219.94,1174.02,1164.99,1142.32,1386.78,10.75,5.39,26.97,21.66,16.32,112.86,75.4,75.51,129.93,146.84,639.53,667.79,722.72,638.83,755.93,456.8,425.45,339.79,351.9,467.7,1918.58,2068,2065.7,2068.08,2120.96,1413.41,1594.08,1607.25,1559.18,1800.1,5513.89,5234.63,5506.73,4071.2,4666.12,2568.85,2068,1947.04,1320.97,1403.1,2144.29,2218.79,2303.01,1835.29,2305.87,752.38,883.21,1191.96,844.56,875.58,48.37,64.63,64.72,70.38,81.58,537.42,560.08,512.38,406.04,250.16,322.45,350.05,264.28,167.83,92.45,209.59,210.03,221.13,232.79,157.71,5.37,0,26.97,5.41,0,5.37,21.54,16.18,5.41,10.88,6733.83,6408.65,6671.72,5213.52,6052.9,7314.24,7571.9,7949.97,7097.53,7135.14,13.68,51.81,30.11,18.2,2.39,10.55,27.36,-15.38,-45.38,7.54,16.37,68.66,-53.45,-71.33,-24.75,-100,102.61,-10.11,-2.45
_Unknown neighborhood,157,208,204,246,253,0,3,4,1,6,16,19,25,34,31,77,100,96,113,107,64,86,79,98,109,189,246,243,275,261,89,87,91,137,155,874,951,935,1017,937,158,131,110,102,109,623,737,723,788,711,92,81,99,125,114,1,2,3,2,3,112,111,122,99,95,73,72,69,55,38,37,36,48,41,56,2,3,5,3,1,4,2,2,1,1,1031,1159,1139,1263,1190,825,875,982,1077,964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland City,6119,6481,5941,6032,6565,91,70,99,111,141,566,557,536,547,540,3261,3539,3087,2996,3184,2201,2315,2219,2378,2700,8622,8913,8600,8737,8592,5265,5705,5717,6261,6243,24941,23879,22307,20265,21763,9881,8470,7254,6185,6689,10946,10926,10735,10402,10569,3835,4173,4016,3414,4198,279,310,302,264,307,3142,2746,2599,1693,1533,2115,1797,1639,936,717,929,856,861,705,813,98,93,99,52,3,114,124,108,137,122,31060,30360,28248,26297,28328,32704,32948,32577,31147,29765,1565.27,1661.34,1525.19,1554.4,1699.42,23.28,17.94,25.42,28.6,36.5,144.79,142.78,137.6,140.96,139.78,834.18,907.19,792.51,772.05,824.21,563.03,593.43,569.67,612.79,698.92,2205.55,2284.76,2207.82,2251.46,2224.13,1346.81,1462.42,1467.69,1613.41,1616.07,6380.03,6121.16,5726.73,5222.14,5633.59,2527.61,2171.2,1862.27,1593.83,1731.52,2800.04,2800.78,2755.93,2680.52,2735.9,981.01,1069.71,1031,879.76,1086.7,71.37,79.47,77.53,68.03,79.47,803.74,703.91,667.22,436.27,396.83,541.03,460.64,420.77,241.2,185.6,237.64,219.43,221.04,181.67,210.45,25.07,23.84,25.42,13.4,0.78,29.16,31.79,27.73,35.3,31.58,7945.3,7782.5,7251.93,6776.55,7333.01,8365.84,8445.91,8363.28,8026.36,7705,8.57,56.79,-3.46,-1.2,24.14,0.84,19.99,-11.7,-31.5,-2.29,10.77,11.35,-50.63,-65.7,-11.44,-96.89,8.3,-7.71,-7.9
