cdc_name,hsg_den2012,hsg_den2013,hsg_den2014,hsg_den2015,hsg_den2016,f2012,f2013,f2014,f2015,f2016,shf2012,shf2013,shf2014,shf2015,shf2016,pctchg_hsgden,pctchg_f,pctchg_shf,_f12,_f13,_f14,_f15,_f16,pctchgrt_f,_shf12,_shf13,_shf14,_shf15,_shf16,pctchgrt_shf
Bellaire Puritas Community Dev. Corp.,1708.75,1706.16,1702.64,1702.46,1715.97,275,224,159,148,157,169,131,141,143,127,0.42,-42.91,-24.85,2.98,2.43,1.73,1.61,1.69,-43.29,1.83,1.42,1.53,1.55,1.37,-25.14
Buckeye Shaker Square Dev Corp.,2348.33,2315.83,2282.32,2252.53,2212.92,208,206,155,168,320,138,98,128,144,190,-5.77,53.85,37.68,3,3.01,2.3,2.52,4.9,63.33,1.99,1.43,1.9,2.16,2.91,46.23
Burton Bell Carr Dev. Corp.,462.73,459.98,454.03,444.87,424.49,76,93,79,44,61,45,34,54,35,25,-8.26,-19.74,-44.44,3.76,4.63,3.98,2.26,3.29,-12.5,2.23,1.69,2.72,1.8,1.35,-39.46
"Campus District, Inc.",42.07,44.07,44.07,44.07,44.07,0,0,0,0,0,0,0,0,0,0,4.75,,,0,0,0,0,0,,0,0,0,0,0,
Collinwood Nottingham Villages Dev. Corp.,1433.04,1402.8,1379.8,1364.68,1344.3,99,75,80,48,72,54,41,39,59,30,-6.19,-27.27,-44.44,4.54,3.51,3.81,2.31,3.52,-22.47,2.48,1.92,1.86,2.84,1.47,-40.73
"Cudell Improvement, Inc.",2299.68,2284.5,2269.86,2267.15,2251.97,87,101,83,52,59,69,40,62,70,45,-2.07,-32.18,-34.78,2.05,2.4,1.98,1.24,1.42,-30.73,1.63,0.95,1.48,1.67,1.08,-33.74
Detroit Shoreway Community Dev. Org.,2141.27,2122.83,2116.07,2113,2100.71,64,70,64,52,40,56,37,38,33,49,-1.89,-37.5,-12.5,1.84,2.03,1.86,1.51,1.17,-36.41,1.61,1.07,1.1,0.96,1.43,-11.18
Downtown Cleveland Alliance,264.31,264.02,275.49,276.06,277.21,5,1,1,2,3,4,1,2,2,0,4.88,-40,-100,0.54,0.11,0.1,0.21,0.31,-42.59,0.43,0.11,0.21,0.21,0,-100
Fairfax Renaissance Dev. Corp.,1146.39,1117.57,1090.63,1059.31,998.55,54,63,90,50,43,35,22,48,33,27,-12.9,-20.37,-22.86,2.95,3.53,5.17,2.96,2.7,-8.47,1.91,1.23,2.76,1.95,1.69,-11.52
Famicos Foundation,2678.48,2631.02,2573.36,2552.18,2514.53,212,168,114,237,377,130,74,95,80,187,-6.12,77.83,43.85,3.1,2.5,1.74,3.64,5.88,89.68,1.9,1.1,1.45,1.23,2.92,53.68
Flats Forward,98.49,97.93,98.21,98.21,98.21,3,2,1,0,2,4,0,1,2,0,-0.28,-33.33,-100,0.86,0.58,0.29,0,0.58,-32.56,1.15,0,0.29,0.58,0,-100
Harvard Community Services Center,2409.6,2397.36,2379.25,2370.58,2353.49,359,275,213,232,317,168,152,160,225,195,-2.33,-11.7,16.07,3.8,2.93,2.28,2.5,3.44,-9.47,1.78,1.62,1.72,2.42,2.11,18.54
Historic Gateway Dev. Corp.,416.63,416.63,416.63,425.05,437.67,0,0,0,1,0,0,0,0,0,0,5.05,,,0,0,0,0.99,0,,0,0,0,0,0,
Historic Warehouse District,2145.43,2145.43,2145.43,2145.43,2145.43,1,0,1,1,2,0,1,0,0,0,0,100,,0.22,0,0.22,0.22,0.43,95.45,0,0.22,0,0,0,
Hough Dev. Corp.,1328.64,1298.58,1268.52,1253.76,1227.6,131,113,115,91,166,80,38,60,68,50,-7.6,26.72,-37.5,2.74,2.42,2.52,2.02,3.76,37.23,1.68,0.81,1.32,1.51,1.13,-32.74
Kamm's Corners Dev. Corp.,1500.99,1501.5,1498.79,1499.13,1500.48,183,113,108,80,97,79,98,70,70,50,-0.03,-46.99,-36.71,2.07,1.28,1.22,0.9,1.1,-46.86,0.89,1.11,0.79,0.79,0.56,-37.08
Little Italy Redevelopment Corp.,2606.8,2637.18,2637.18,2643.26,2637.18,1,1,0,2,1,0,0,0,0,0,1.17,0,,0.23,0.23,0,0.46,0.23,0,0,0,0,0,0,
Metro West Dev. Corp.,1977.4,1943.73,1919.14,1909.17,1917.14,261,199,219,161,176,146,141,171,154,131,-3.05,-32.57,-10.27,2.92,2.27,2.53,1.87,2.03,-30.48,1.64,1.61,1.97,1.79,1.51,-7.93
Midtown Cleveland Inc.,254.97,252.96,251.95,248.94,232.88,3,7,2,2,1,3,0,3,0,0,-8.66,-66.67,-100,1.18,2.78,0.8,0.81,0.43,-63.56,1.18,0,1.2,0,0,-100
Mt. Pleasant NOW Comm. Dev. Corp.,2799.87,2738.65,2680.6,2649.76,2604.41,254,129,145,216,277,135,81,94,148,190,-6.98,9.06,40.74,4.11,2.14,2.45,3.7,4.82,17.27,2.19,1.34,1.59,2.53,3.31,51.14
Northeast Shores Dev. Corp.,1464.21,1454.98,1441.56,1433.73,1486.86,188,182,104,107,144,113,92,93,90,72,1.55,-23.4,-36.28,3.59,3.5,2.02,2.09,2.71,-24.51,2.16,1.77,1.8,1.76,1.35,-37.5
Ohio City Inc.,1761.56,1747.44,1729.8,1725.39,1718.33,24,32,29,21,18,23,22,20,16,12,-2.45,-25,-47.83,1.2,1.62,1.48,1.07,0.92,-23.33,1.15,1.11,1.02,0.82,0.62,-46.09
Old Brooklyn Community Dev. Corp.,1918.37,1914.36,1910.69,1909.19,1929.56,346,241,187,170,160,156,162,166,144,140,0.58,-53.76,-10.26,3.01,2.1,1.63,1.49,1.38,-54.15,1.36,1.41,1.45,1.26,1.21,-11.03
Shaker Square Area Dev. Corp.,2213.19,2209.55,2201.04,2196.18,2184.02,53,41,26,24,29,26,30,32,27,22,-1.32,-45.28,-15.38,2.91,2.26,1.44,1.33,1.61,-44.67,1.43,1.65,1.77,1.49,1.22,-14.69
Slavic Village Dev. Corp.,1768.23,1726.51,1688.97,1663.28,1617.18,260,250,238,157,348,165,107,154,207,144,-8.54,33.85,-12.73,3.23,3.18,3.09,2.07,4.72,46.13,2.05,1.36,2,2.73,1.95,-4.88
St. Clair Superior Dev. Corp.,1311.81,1291.15,1265.98,1253.09,1238.81,316,234,177,272,219,228,125,131,125,140,-5.56,-30.7,-38.6,3.02,2.27,1.75,2.72,2.21,-26.82,2.18,1.21,1.3,1.25,1.42,-34.86
Tremont West Dev. Corp.,1286.29,1286.29,1276.37,1280.45,1272.86,23,23,24,18,14,16,12,20,9,7,-1.04,-39.13,-56.25,1.04,1.04,1.1,0.82,0.64,-38.46,0.73,0.54,0.91,0.41,0.32,-56.16
Union Miles Dev. Corp.,2252.54,2219.17,2167.41,2135.09,2102.51,321,198,154,250,316,196,117,122,179,182,-6.66,-1.56,-7.14,3.74,2.34,1.87,3.08,3.95,5.61,2.29,1.39,1.48,2.2,2.27,-0.87
"University Circle, Incorporated",142.15,144.44,147.88,149.03,145.59,0,1,0,0,0,0,0,1,1,0,2.42,,,0,0.79,0,0,0,,0,0,0.78,0.77,0,
Westown Community Dev. Corp.,2653.06,2644.31,2634.15,2631,2623.65,226,211,173,120,150,131,124,138,158,125,-1.11,-33.63,-4.58,2.98,2.79,2.3,1.6,2,-32.89,1.73,1.64,1.83,2.1,1.67,-3.47
