cdc_name,count2012,count2013,count2014,count2015,count2016,band12012,band12013,band12014,band12015,band12016,band22012,band22013,band22014,band22015,band22016,band32012,band32013,band32014,band32015,band32016,_band12012,_band12013,_band12014,_band12015,_band12016,_band22012,_band22013,_band22014,_band22015,_band22016,_band32012,_band32013,_band32014,_band32015,_band32016,meanscore2012,meanscore2013,meanscore2014,meanscore2015,meanscore2016,w_count2012,w_count2013,w_count2014,w_count2015,w_count2016,w_band12012,w_band12013,w_band12014,w_band12015,w_band12016,w_band22012,w_band22013,w_band22014,w_band22015,w_band22016,w_band32012,w_band32013,w_band32014,w_band32015,w_band32016,_w_band12012,_w_band12013,_w_band12014,_w_band12015,_w_band12016,_w_band22012,_w_band22013,_w_band22014,_w_band22015,_w_band22016,_w_band32012,_w_band32013,_w_band32014,_w_band32015,_w_band32016,w_meanscore2012,w_meanscore2013,w_meanscore2014,w_meanscore2015,w_meanscore2016,b_count2012,b_count2013,b_count2014,b_count2015,b_count2016,b_band12012,b_band12013,b_band12014,b_band12015,b_band12016,b_band22012,b_band22013,b_band22014,b_band22015,b_band22016,b_band32012,b_band32013,b_band32014,b_band32015,b_band32016,_b_band12012,_b_band12013,_b_band12014,_b_band12015,_b_band12016,_b_band22012,_b_band22013,_b_band22014,_b_band22015,_b_band22016,_b_band32012,_b_band32013,_b_band32014,_b_band32015,_b_band32016,b_meanscore2012,b_meanscore2013,b_meanscore2014,b_meanscore2015,b_meanscore2016,a_count2012,a_count2013,a_count2014,a_count2015,a_count2016,a_band12012,a_band12013,a_band12014,a_band12015,a_band12016,a_band22012,a_band22013,a_band22014,a_band22015,a_band22016,a_band32012,a_band32013,a_band32014,a_band32015,a_band32016,_a_band12012,_a_band12013,_a_band12014,_a_band12015,_a_band12016,_a_band22012,_a_band22013,_a_band22014,_a_band22015,_a_band22016,_a_band32012,_a_band32013,_a_band32014,_a_band32015,_a_band32016,a_meanscore2012,a_meanscore2013,a_meanscore2014,a_meanscore2015,a_meanscore2016,o_count2012,o_count2013,o_count2014,o_count2015,o_count2016,o_band12012,o_band12013,o_band12014,o_band12015,o_band12016,o_band22012,o_band22013,o_band22014,o_band22015,o_band22016,o_band32012,o_band32013,o_band32014,o_band32015,o_band32016,_o_band12012,_o_band12013,_o_band12014,_o_band12015,_o_band12016,_o_band22012,_o_band22013,_o_band22014,_o_band22015,_o_band22016,_o_band32012,_o_band32013,_o_band32014,_o_band32015,_o_band32016,o_meanscore2012,o_meanscore2013,o_meanscore2014,o_meanscore2015,o_meanscore2016,h_count2012,h_count2013,h_count2014,h_count2015,h_count2016,h_band12012,h_band12013,h_band12014,h_band12015,h_band12016,h_band22012,h_band22013,h_band22014,h_band22015,h_band22016,h_band32012,h_band32013,h_band32014,h_band32015,h_band32016,_h_band12012,_h_band12013,_h_band12014,_h_band12015,_h_band12016,_h_band22012,_h_band22013,_h_band22014,_h_band22015,_h_band22016,_h_band32012,_h_band32013,_h_band32014,_h_band32015,_h_band32016,h_meanscore2012,h_meanscore2013,h_meanscore2014,h_meanscore2015,h_meanscore2016
Bellaire Puritas Community Dev. Corp.,192,180,195,180,152,76,64,74,52,51,76,72,70,82,69,40,44,51,46,32,39.58,35.56,37.95,28.89,33.55,39.58,40,35.9,45.56,45.39,20.83,24.44,26.15,25.56,21.05,16.14,17.18,16.57,260.83,258.36,83,71,85,65,96,31,19,29,18,30,34,31,31,30,45,18,21,25,17,21,37.35,26.76,34.12,27.69,31.25,40.96,43.66,36.47,46.15,46.88,21.69,29.58,29.41,26.15,21.88,16.49,18.52,17.18,261.54,259.17,47,63,63,64,50,19,27,20,18,19,16,22,24,31,23,12,14,19,15,8,40.43,42.86,31.75,28.13,38,34.04,34.92,38.1,48.44,46,25.53,22.22,30.16,23.44,16,16.4,16.33,17.38,261.48,256.8,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,15,10,999999,16,999999,7,3,999999,1,999999,6,5,999999,5,999999,2,2,999999,10,999999,46.67,30,999999,6.25,999999,40,50,999999,31.25,999999,13.33,20,999999,62.5,999999,15.6,18.1,999999,269.81,999999,39,33,35,28,999999,16,15,17,10,999999,15,13,13,14,999999,8,5,5,4,999999,41.03,45.45,48.57,35.71,999999,38.46,39.39,37.14,50,999999,20.51,15.15,14.29,14.29,999999,15.54,15.03,14.83,258.29,999999
Buckeye Shaker Square Dev Corp.,149,129,151,113,103,53,45,67,42,35,66,53,63,55,54,30,31,21,16,14,35.57,34.88,44.37,37.17,33.98,44.3,41.09,41.72,48.67,52.43,20.13,24.03,13.91,14.16,13.59,16.36,17.23,14.75,257.3,256.89,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,145,122,149,111,103,51,41,66,42,35,65,50,62,54,54,29,31,21,15,14,35.17,33.61,44.3,37.84,33.98,44.83,40.98,41.61,48.65,52.43,20,25.41,14.09,13.51,13.59,16.43,17.62,14.84,257.05,256.89,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Burton Bell Carr Dev. Corp.,308,237,234,216,205,133,113,111,101,91,134,91,94,87,85,41,33,29,28,29,43.18,47.68,47.44,46.76,44.39,43.51,38.4,40.17,40.28,41.46,13.31,13.92,12.39,12.96,14.15,15.46,14.53,14.63,254.86,253.64,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,296,229,224,207,197,125,109,105,98,86,130,87,90,83,83,41,33,29,26,28,42.23,47.6,46.88,47.34,43.65,43.92,37.99,40.18,40.1,42.13,13.85,14.41,12.95,12.56,14.21,15.57,14.68,14.76,254.68,253.65,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
"Campus District, Inc.",64,49,36,30,20,26,22,20,15,11,27,23,14,14,7,11,4,2,1,2,40.63,44.9,55.56,50,55,42.19,46.94,38.89,46.67,35,17.19,8.16,5.56,3.33,10,16.19,15.04,13.53,251.07,251.05,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,55,46,32,29,16,21,22,16,15,8,24,20,14,13,6,10,4,2,1,2,38.18,47.83,50,51.72,50,43.64,43.48,43.75,44.83,37.5,18.18,8.7,6.25,3.45,12.5,16.53,14.76,14.53,250.59,251.5,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Collinwood Nottingham Villages Dev. Corp.,40,42,32,30,31,16,13,14,9,11,16,21,14,13,10,8,8,4,8,10,40,30.95,43.75,30,35.48,40,50,43.75,43.33,32.26,20,19.05,12.5,26.67,32.26,16.83,16.69,14.53,258.17,255.87,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,37,40,29,30,31,16,13,13,9,11,14,20,12,13,10,7,7,4,8,10,43.24,32.5,44.83,30,35.48,37.84,50,41.38,43.33,32.26,18.92,17.5,13.79,26.67,32.26,16.41,16.33,14.76,258.17,255.87,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
"Cudell Improvement, Inc.",136,108,131,123,92,61,53,51,45,33,50,38,56,57,40,25,17,24,21,19,44.85,49.07,38.93,36.59,35.87,36.76,35.19,42.75,46.34,43.48,18.38,15.74,18.32,17.07,20.65,15.74,14.65,15.73,256.1,257.85,33,27,34,35,36,17,14,8,11,11,9,8,18,18,15,7,5,8,6,10,51.52,51.85,23.53,31.43,30.56,27.27,29.63,52.94,51.43,41.67,21.21,18.52,23.53,17.14,27.78,14.88,14.52,17.53,257.14,257.86,63,59,64,65,48,25,27,26,23,19,24,25,27,33,21,14,7,11,9,8,39.68,45.76,40.63,35.38,39.58,38.1,42.37,42.19,50.77,43.75,22.22,11.86,17.19,13.85,16.67,16.75,15.19,15.95,256.17,257.9,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,11,999999,999999,999999,999999,3,999999,999999,999999,999999,6,999999,999999,999999,999999,2,999999,999999,999999,999999,27.27,999999,999999,999999,999999,54.55,999999,999999,999999,999999,18.18,999999,999999,999999,999999,18.55,999999,999999,999999,999999,27,15,18,19,999999,14,8,7,10,999999,11,3,7,5,999999,2,4,4,4,999999,51.85,53.33,38.89,52.63,999999,40.74,20,38.89,26.32,999999,7.41,26.67,22.22,21.05,999999,13.96,13.27,15.72,254.68,999999
Detroit Shoreway Community Dev. Org.,103,123,120,97,90,51,73,73,33,35,45,35,34,48,37,7,15,13,16,18,49.51,59.35,60.83,34.02,38.89,43.69,28.46,28.33,49.48,41.11,6.8,12.2,10.83,16.49,20,14.23,13.02,12.85,256.46,255.88,37,35,24,20,46,22,20,16,7,19,13,9,5,10,18,2,6,3,3,9,59.46,57.14,66.67,35,41.3,35.14,25.71,20.83,50,39.13,5.41,17.14,12.5,15,19.57,12.73,14.17,11.88,257,256.11,36,50,57,44,42,19,24,31,15,15,15,19,19,20,19,2,7,7,9,8,52.78,48,54.39,34.09,35.71,41.67,38,33.33,45.45,45.24,5.56,14,12.28,20.45,19.05,14.25,14.42,13.7,256.93,256.12,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,30,33,33,23,999999,10,27,23,9,999999,17,4,8,11,999999,3,2,2,3,999999,33.33,81.82,69.7,39.13,999999,56.67,12.12,24.24,47.83,999999,10,6.06,6.06,13.04,999999,16.07,9.39,11.48,253.91,999999
Downtown Cleveland Alliance,35,40,43,36,51,18,18,20,16,30,11,19,17,16,15,6,3,6,4,6,51.43,45,46.51,44.44,58.82,31.43,47.5,39.53,44.44,29.41,17.14,7.5,13.95,11.11,11.76,14.31,13.4,14.28,251.67,251.69,999999,999999,999999,999999,12,999999,999999,999999,999999,7,999999,999999,999999,999999,4,999999,999999,999999,999999,1,999999,999999,999999,999999,58.33,999999,999999,999999,999999,33.33,999999,999999,999999,999999,8.33,999999,999999,999999,999999,250.75,23,26,32,25,38,14,10,12,11,23,6,13,14,12,10,3,3,6,2,5,60.87,38.46,37.5,44,60.53,26.09,50,43.75,48,26.32,13.04,11.54,18.75,8,13.16,13.52,14.08,16.22,251.2,251.58,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Fairfax Renaissance Dev. Corp.,37,25,33,36,17,8,10,16,11,6,19,8,13,18,4,10,7,4,7,7,21.62,40,48.48,30.56,35.29,51.35,32,39.39,50,23.53,27.03,28,12.12,19.44,41.18,19.16,17.2,15.36,260.81,262.18,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,37,24,33,34,16,8,10,16,10,5,19,7,13,18,4,10,7,4,6,7,21.62,41.67,48.48,29.41,31.25,51.35,29.17,39.39,52.94,25,27.03,29.17,12.12,17.65,43.75,19.16,17,15.36,260.41,262.94,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Famicos Foundation,177,145,133,131,109,70,53,58,37,34,76,66,56,62,57,31,26,19,32,18,39.55,36.55,43.61,28.24,31.19,42.94,45.52,42.11,47.33,52.29,17.51,17.93,14.29,24.43,16.51,15.83,16.52,15.53,260.47,258.43,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,173,139,131,126,108,70,50,56,36,34,72,65,56,61,57,31,24,19,29,17,40.46,35.97,42.75,28.57,31.48,41.62,46.76,42.75,48.41,52.78,17.92,17.27,14.5,23.02,15.74,15.77,16.5,15.62,260.25,258.28,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Flats Forward,26,25,27,21,36,16,13,8,6,22,9,11,14,12,11,1,1,5,3,3,61.54,52,29.63,28.57,61.11,34.62,44,51.85,57.14,30.56,3.85,4,18.52,14.29,8.33,12.46,12.28,16.56,257.67,250.75,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,19,16,25,18,30,12,6,7,6,19,6,9,13,11,9,1,1,5,1,2,63.16,37.5,28,33.33,63.33,31.58,56.25,52,61.11,30,5.26,6.25,20,5.56,6.67,12.63,13.56,17,255.67,250.03,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Harvard Community Services Center,160,141,128,141,123,47,41,51,46,36,77,67,46,69,59,36,33,31,26,28,29.38,29.08,39.84,32.62,29.27,48.13,47.52,35.94,48.94,47.97,22.5,23.4,24.22,18.44,22.76,17.57,17.87,16.51,257.82,260.73,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,157,140,124,137,122,46,40,49,44,36,76,67,45,69,59,35,33,30,24,27,29.3,28.57,39.52,32.12,29.51,48.41,47.86,36.29,50.36,48.36,22.29,23.57,24.19,17.52,22.13,17.55,17.92,16.5,257.8,260.64,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Historic Gateway Dev. Corp.,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
