neighbor10,count2012,count2013,count2014,count2015,count2016,band12012,band12013,band12014,band12015,band12016,band22012,band22013,band22014,band22015,band22016,band32012,band32013,band32014,band32015,band32016,_band12012,_band12013,_band12014,_band12015,_band12016,_band22012,_band22013,_band22014,_band22015,_band22016,_band32012,_band32013,_band32014,_band32015,_band32016,meanscore2012,meanscore2013,meanscore2014,meanscore2015,meanscore2016,w_count2012,w_count2013,w_count2014,w_count2015,w_count2016,w_band12012,w_band12013,w_band12014,w_band12015,w_band12016,w_band22012,w_band22013,w_band22014,w_band22015,w_band22016,w_band32012,w_band32013,w_band32014,w_band32015,w_band32016,_w_band12012,_w_band12013,_w_band12014,_w_band12015,_w_band12016,_w_band22012,_w_band22013,_w_band22014,_w_band22015,_w_band22016,_w_band32012,_w_band32013,_w_band32014,_w_band32015,_w_band32016,w_meanscore2012,w_meanscore2013,w_meanscore2014,w_meanscore2015,w_meanscore2016,b_count2012,b_count2013,b_count2014,b_count2015,b_count2016,b_band12012,b_band12013,b_band12014,b_band12015,b_band12016,b_band22012,b_band22013,b_band22014,b_band22015,b_band22016,b_band32012,b_band32013,b_band32014,b_band32015,b_band32016,_b_band12012,_b_band12013,_b_band12014,_b_band12015,_b_band12016,_b_band22012,_b_band22013,_b_band22014,_b_band22015,_b_band22016,_b_band32012,_b_band32013,_b_band32014,_b_band32015,_b_band32016,b_meanscore2012,b_meanscore2013,b_meanscore2014,b_meanscore2015,b_meanscore2016,a_count2012,a_count2013,a_count2014,a_count2015,a_count2016,a_band12012,a_band12013,a_band12014,a_band12015,a_band12016,a_band22012,a_band22013,a_band22014,a_band22015,a_band22016,a_band32012,a_band32013,a_band32014,a_band32015,a_band32016,_a_band12012,_a_band12013,_a_band12014,_a_band12015,_a_band12016,_a_band22012,_a_band22013,_a_band22014,_a_band22015,_a_band22016,_a_band32012,_a_band32013,_a_band32014,_a_band32015,_a_band32016,a_meanscore2012,a_meanscore2013,a_meanscore2014,a_meanscore2015,a_meanscore2016,o_count2012,o_count2013,o_count2014,o_count2015,o_count2016,o_band12012,o_band12013,o_band12014,o_band12015,o_band12016,o_band22012,o_band22013,o_band22014,o_band22015,o_band22016,o_band32012,o_band32013,o_band32014,o_band32015,o_band32016,_o_band12012,_o_band12013,_o_band12014,_o_band12015,_o_band12016,_o_band22012,_o_band22013,_o_band22014,_o_band22015,_o_band22016,_o_band32012,_o_band32013,_o_band32014,_o_band32015,_o_band32016,o_meanscore2012,o_meanscore2013,o_meanscore2014,o_meanscore2015,o_meanscore2016,h_count2012,h_count2013,h_count2014,h_count2015,h_count2016,h_band12012,h_band12013,h_band12014,h_band12015,h_band12016,h_band22012,h_band22013,h_band22014,h_band22015,h_band22016,h_band32012,h_band32013,h_band32014,h_band32015,h_band32016,_h_band12012,_h_band12013,_h_band12014,_h_band12015,_h_band12016,_h_band22012,_h_band22013,_h_band22014,_h_band22015,_h_band22016,_h_band32012,_h_band32013,_h_band32014,_h_band32015,_h_band32016,h_meanscore2012,h_meanscore2013,h_meanscore2014,h_meanscore2015,h_meanscore2016
Downtown,999999,15,16,15,15,999999,5,12,10,8,999999,8,3,4,4,999999,2,1,1,3,999999,33.33,75,66.67,53.33,999999,53.33,18.75,26.67,26.67,999999,13.33,6.25,6.67,20,999999,15.27,10.44,243.27,253.93,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,4,999999,999999,999999,999999,4,999999,999999,999999,999999,2,999999,999999,999999,999999,40,999999,999999,999999,999999,40,999999,999999,999999,999999,20,999999,999999,999999,999999,14.9,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Edgewater,24,14,25,23,23,4,4,9,5,4,12,7,9,7,10,8,3,7,11,9,16.67,28.57,36,21.74,17.39,50,50,36,30.43,43.48,33.33,21.43,28,47.83,39.13,19.92,16.29,15.56,264.3,264.22,999999,999999,11,10,12,999999,999999,2,3,1,999999,999999,5,2,4,999999,999999,4,5,7,999999,999999,18.18,30,8.33,999999,999999,45.45,20,33.33,999999,999999,36.36,50,58.33,999999,999999,19,263.1,266.75,13,999999,999999,999999,999999,2,999999,999999,999999,999999,7,999999,999999,999999,999999,4,999999,999999,999999,999999,15.38,999999,999999,999999,999999,53.85,999999,999999,999999,999999,30.77,999999,999999,999999,999999,20,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Euclid-Green,42,26,40,37,39,14,12,13,12,13,24,10,15,12,17,4,4,12,13,9,33.33,46.15,32.5,32.43,33.33,57.14,38.46,37.5,32.43,43.59,9.52,15.38,30,35.14,23.08,15.95,15.12,17.2,259.05,254.87,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,39,23,37,32,39,13,10,12,12,13,22,10,14,9,17,4,3,11,11,9,33.33,43.48,32.43,37.5,33.33,56.41,43.48,37.84,28.13,43.59,10.26,13.04,29.73,34.38,23.08,16.05,14.87,17.05,257.81,254.87,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Fairfax,49,30,40,45,20,13,12,21,16,5,23,11,15,21,7,13,7,4,8,8,26.53,40,52.5,35.56,25,46.94,36.67,37.5,46.67,35,26.53,23.33,10,17.78,40,18.86,16.8,14.33,259.38,263,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,48,29,40,43,20,12,12,21,15,5,23,10,15,21,7,13,7,4,7,8,25,41.38,52.5,34.88,25,47.92,34.48,37.5,48.84,35,27.08,24.14,10,16.28,40,18.98,16.62,14.33,259,263,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Glenville,253,185,186,174,147,90,77,83,61,51,118,73,78,79,67,45,35,25,34,29,35.57,41.62,44.62,35.06,34.69,46.64,39.46,41.94,45.4,45.58,17.79,18.92,13.44,19.54,19.73,16.19,15.97,15.48,259.05,257.7,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,249,178,182,168,145,90,73,80,60,51,114,72,77,77,67,45,33,25,31,27,36.14,41.01,43.96,35.71,35.17,45.78,40.45,42.31,45.83,46.21,18.07,18.54,13.74,18.45,18.62,16.15,15.99,15.58,258.82,257.5,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Goodrich-Kirtland Pk,21,19,10,999999,20,5,7,6,999999,8,12,10,2,999999,10,4,2,2,999999,2,23.81,36.84,60,999999,40,57.14,52.63,20,999999,50,19.05,10.53,20,999999,10,18.71,16.37,13.6,999999,257.15,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Hopkins,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Hough,118,69,99,92,79,37,23,40,38,35,56,35,40,37,34,25,11,19,17,10,31.36,33.33,40.4,41.3,44.3,47.46,50.72,40.4,40.22,43.04,21.19,15.94,19.19,18.48,12.66,17.16,16.25,16.2,254.78,253.68,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,116,67,93,90,77,37,21,37,38,34,55,35,38,35,33,24,11,18,17,10,31.9,31.34,39.78,42.22,44.16,47.41,52.24,40.86,38.89,42.86,20.69,16.42,19.35,18.89,12.99,17.04,16.46,16.25,254.68,253.9,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Jefferson,143,116,150,121,120,53,47,60,32,50,55,39,51,54,49,35,30,39,35,21,37.06,40.52,40,26.45,41.67,38.46,33.62,34,44.63,40.83,24.48,25.86,26,28.93,17.5,16.9,16.9,16.31,261.29,256.16,55,41,60,51,83,23,12,23,15,33,18,16,20,22,34,14,13,17,14,16,41.82,29.27,38.33,29.41,39.76,32.73,39.02,33.33,43.14,40.96,25.45,31.71,28.33,27.45,19.28,16.64,18.8,16.47,260.08,257.02,37,37,39,33,35,11,20,12,5,17,15,9,13,16,14,11,8,14,12,4,29.73,54.05,30.77,15.15,48.57,40.54,24.32,33.33,48.48,40,29.73,21.62,35.9,36.36,11.43,18.65,15.43,18.51,266.73,253.66,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,12,10,999999,999999,999999,3,4,999999,999999,999999,6,3,999999,999999,999999,3,3,999999,999999,999999,25,40,999999,999999,999999,50,30,999999,999999,999999,25,30,999999,999999,999999,17.92,17.5,999999,999999,999999,35,24,44,25,999999,14,11,22,8,999999,15,11,16,13,999999,6,2,6,4,999999,40,45.83,50,32,999999,42.86,45.83,36.36,52,999999,17.14,8.33,13.64,16,999999,15.63,13.96,14.09,258.6,999999
Kamm's,110,144,144,137,100,34,49,52,45,33,40,53,52,60,43,36,42,40,32,24,30.91,34.03,36.11,32.85,33,36.36,36.81,36.11,43.8,43,32.73,29.17,27.78,23.36,24,18.7,17.96,17.35,258.81,258.57,45,55,55,48,59,12,12,12,12,19,18,22,19,21,21,15,21,24,15,19,26.67,21.82,21.82,25,32.2,40,40,34.55,43.75,35.59,33.33,38.18,43.64,31.25,32.2,19.09,20.35,19.89,261.19,260.36,44,54,55,54,36,14,23,21,23,10,16,20,21,22,21,14,11,13,9,5,31.82,42.59,38.18,42.59,27.78,36.36,37.04,38.18,40.74,58.33,31.82,20.37,23.64,16.67,13.89,18.7,16.11,16.89,256.96,257.72,999999,999999,10,999999,999999,999999,999999,9,999999,999999,999999,999999,1,999999,999999,999999,999999,0,999999,999999,999999,999999,90,999999,999999,999999,999999,10,999999,999999,999999,999999,0,999999,999999,999999,999999,9.4,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,15,25,19,23,999999,6,11,7,5,999999,4,8,10,12,999999,5,6,2,6,999999,40,44,36.84,21.74,999999,26.67,32,52.63,52.17,999999,33.33,24,10.53,26.09,999999,17.33,15.88,15.84,261.43,999999
Kinsman,72,52,61,64,59,29,30,25,26,27,30,15,24,30,26,13,7,12,8,6,40.28,57.69,40.98,40.63,45.76,41.67,28.85,39.34,46.88,44.07,18.06,13.46,19.67,12.5,10.17,15.83,12.98,15.46,256.61,254.88,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,70,50,59,62,57,28,28,24,25,27,29,15,23,29,24,13,7,12,8,6,40,56,40.68,40.32,47.37,41.43,30,38.98,46.77,42.11,18.57,14,20.34,12.9,10.53,15.91,13.5,15.68,256.65,254.61,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Lee-Harvard,58,66,49,57,55,12,19,20,12,11,33,30,18,30,28,13,17,11,15,16,20.69,28.79,40.82,21.05,20,56.9,45.45,36.73,52.63,50.91,22.41,25.76,22.45,26.32,29.09,18.22,18.14,16.51,261.75,263.15,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,56,66,47,54,54,12,19,19,11,11,32,30,18,30,28,12,17,10,13,15,21.43,28.79,40.43,20.37,20.37,57.14,45.45,38.3,55.56,51.85,21.43,25.76,21.28,24.07,27.78,18.09,18.14,16.4,261.11,262.98,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
